epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9019.13,1.26567,0.79474,1.34634,0.94326,0.58387,0.63056,0.39877,1.33552,0.65909,1.45801,0.00687769,0.00687769,0.00687769
43,9233.52,1.27405,0.79157,1.34898,0.94225,0.582,0.62792,0.39799,1.33013,0.67175,1.45043,0.00680154,0.00680154,0.00680154
44,9447.7,1.27386,0.79281,1.34171,0.94862,0.57198,0.62411,0.39539,1.34032,0.67394,1.45626,0.00672538,0.00672538,0.00672538
45,9661.83,1.27191,0.80114,1.35417,0.94132,0.57627,0.62824,0.39858,1.34133,0.65993,1.46049,0.00664923,0.00664923,0.00664923
46,9876.01,1.27111,0.79938,1.34905,0.93584,0.57359,0.61576,0.38901,1.34528,0.67671,1.4637,0.00657308,0.00657308,0.00657308
47,10090.2,1.26144,0.77785,1.33977,0.94762,0.5762,0.63012,0.39838,1.32001,0.66935,1.44159,0.00649692,0.00649692,0.00649692
48,10304.4,1.27096,0.79052,1.34447,0.93848,0.58398,0.62335,0.388,1.36611,0.66337,1.48423,0.00642077,0.00642077,0.00642077
49,10518.6,1.25991,0.77796,1.34961,0.93469,0.58744,0.62357,0.39182,1.34178,0.66154,1.4596,0.00634462,0.00634462,0.00634462
50,10732.8,1.24628,0.77961,1.32966,0.94048,0.58555,0.62974,0.40257,1.31735,0.64979,1.44429,0.00626846,0.00626846,0.00626846
51,10947.2,1.24583,0.76415,1.32872,0.95505,0.57595,0.63296,0.40055,1.32711,0.64367,1.44771,0.00619231,0.00619231,0.00619231
52,11161.3,1.23616,0.76075,1.32011,0.94501,0.58398,0.6305,0.40109,1.32145,0.64753,1.44811,0.00611615,0.00611615,0.00611615
53,11375.5,1.24545,0.76195,1.33778,0.95185,0.58687,0.63234,0.4054,1.3008,0.62957,1.42997,0.00604,0.00604,0.00604
54,11589.8,1.23104,0.73974,1.33017,0.94451,0.58689,0.63229,0.4023,1.3229,0.63922,1.44938,0.00596385,0.00596385,0.00596385
55,11803.9,1.24032,0.75576,1.32527,0.9441,0.58452,0.6306,0.40261,1.34236,0.64234,1.4542,0.00588769,0.00588769,0.00588769
56,12018.1,1.24446,0.7591,1.32858,0.95899,0.57785,0.63226,0.40483,1.32326,0.63277,1.44429,0.00581154,0.00581154,0.00581154
